step,sps,avg_train_reward,best_eval_metric,wall_time,alpha
525000,192,-23.8979,-4.5247,2730.7,0.200000
530000,193,-21.3002,-4.5247,2744.0,0.200000
535000,194,-19.5320,-4.5247,2757.2,0.200000
540000,194,-19.5560,-4.5247,2770.7,0.200000
545000,195,-21.2987,-4.5247,2793.2,0.200000
550000,195,-21.7260,-4.5247,2808.3,0.200000
555000,196,-22.9907,-4.5247,2822.8,0.200000
560000,197,-21.5093,-4.5247,2837.7,0.200000
565000,197,-22.4421,-4.5247,2864.9,0.200000
570000,197,-21.6798,-4.5247,2880.2,0.200000
575000,198,-20.0468,-4.5247,2895.1,0.200000
580000,199,-21.1271,-4.5247,2909.8,0.200000
585000,199,-21.3942,-4.5247,2936.5,0.200000
590000,199,-23.4327,-4.5247,2951.7,0.200000
595000,200,-22.5420,-4.5247,2966.4,0.200000
600000,201,-22.3132,-4.5247,2981.2,0.200000
605000,201,-21.0339,-4.5247,3008.2,0.200000
610000,201,-17.8686,-4.5247,3023.0,0.200000
615000,202,-17.0135,-4.5247,3037.8,0.200000
620000,203,-15.9018,-4.5247,3053.7,0.200000
625000,202,-19.3654,-4.5247,3080.7,0.200000
630000,203,-20.0510,-4.5247,3095.4,0.200000
635000,204,-20.5777,-4.5247,3111.2,0.200000
640000,204,-19.7935,-4.5247,3126.3,0.200000
645000,204,-19.9684,-4.5247,3155.5,0.200000
650000,205,-19.6028,-4.5247,3170.3,0.200000
655000,205,-19.5832,-4.5247,3185.5,0.200000
660000,206,-19.5546,-4.5247,3201.2,0.200000
665000,205,-19.6651,-3.7142,3231.7,0.200000
670000,206,-20.5800,-3.7142,3247.9,0.200000
675000,206,-21.8253,-3.7142,3263.8,0.200000
680000,207,-23.7599,-3.7142,3279.2,0.200000
685000,207,-20.8835,-3.7142,3307.7,0.200000
690000,207,-19.6664,-3.7142,3322.5,0.200000
695000,208,-18.5349,-3.7142,3337.1,0.200000
700000,208,-21.0044,-3.7142,3353.3,0.200000
705000,208,-23.6854,-3.7142,3383.9,0.200000
710000,208,-25.9671,-3.7142,3400.4,0.200000
715000,209,-23.8252,-3.7142,3416.5,0.200000
720000,209,-23.0624,-3.7142,3433.3,0.200000
725000,209,-19.8045,-3.7142,3461.4,0.200000
730000,209,-23.0705,-3.7142,3477.0,0.200000
735000,210,-21.9894,-3.7142,3491.9,0.200000
740000,211,-20.9123,-3.7142,3507.0,0.200000
745000,210,-19.4626,-3.7142,3536.8,0.200000
750000,211,-18.0646,-3.7142,3551.6,0.200000
755000,211,-18.9524,-3.7142,3566.5,0.200000
760000,212,-18.5999,-3.7142,3581.0,0.200000
765000,211,-19.2602,-3.7142,3610.0,0.200000
770000,212,-19.4364,-3.7142,3624.9,0.200000
775000,212,-22.1877,-3.7142,3640.7,0.200000
780000,213,-24.0979,-3.7142,3655.9,0.200000
785000,213,-24.7714,-3.7142,3685.2,0.200000
790000,213,-22.7833,-3.7142,3700.4,0.200000
795000,213,-19.8870,-3.7142,3715.7,0.200000
800000,214,-20.0906,-3.7142,3729.7,0.200000
805000,214,-20.6049,-3.7142,3758.9,0.200000
810000,214,-20.3825,-3.7142,3773.6,0.200000
815000,215,-20.0835,-3.7142,3788.4,0.200000
820000,215,-23.3197,-3.7142,3802.1,0.200000
825000,215,-23.0091,-3.7142,3834.8,0.200000
