step,sps,avg_train_reward,best_eval_metric,wall_time,alpha
525000,130,-1.6290,0.8697,4020.4,0.008452
530000,129,-1.7239,0.8697,4081.2,0.008470
535000,129,0.3979,0.8697,4147.2,0.008409
540000,128,-2.4151,0.8697,4213.3,0.008441
545000,126,-0.6026,0.8697,4310.4,0.008483
550000,125,0.5206,0.8697,4382.5,0.008616
555000,124,1.5974,0.8697,4444.3,0.008560
560000,124,1.1086,0.8697,4505.4,0.008534
565000,123,-1.6195,0.8697,4592.3,0.008714
570000,122,-4.0390,0.8697,4652.3,0.008553
575000,122,-2.7938,0.8697,4713.0,0.008614
580000,121,-1.6946,0.8697,4774.9,0.008568
585000,120,-2.5092,1.3629,4867.3,0.008621
590000,119,-2.5976,1.3629,4922.0,0.008626
595000,120,-1.2730,1.3629,4946.0,0.008456
600000,120,-2.6242,1.3629,4969.8,0.008628
605000,120,-3.7116,1.3629,5002.7,0.008547
610000,121,-0.9752,1.3629,5032.7,0.008588
615000,120,0.5762,1.3629,5091.3,0.008520
620000,120,-2.1323,1.3629,5149.5,0.008536
625000,119,-1.7626,1.3629,5240.7,0.008549
630000,118,-2.9446,1.3629,5303.4,0.008746
635000,118,-2.4917,1.3629,5366.1,0.008511
640000,117,-0.6874,1.3629,5428.4,0.008453
645000,117,-2.2814,1.4362,5499.8,0.008507
650000,117,-1.0268,1.4362,5552.5,0.008564
655000,116,2.0349,1.4362,5610.4,0.008369
660000,116,-0.0034,1.4362,5668.9,0.008544
665000,115,-0.1624,2.1271,5755.3,0.008444
670000,115,0.7261,2.1271,5816.3,0.008584
675000,114,2.3483,2.1271,5875.6,0.008549
680000,114,1.8489,2.1271,5933.6,0.008443
685000,113,1.2445,2.1271,6015.2,0.008580
690000,113,-0.4551,2.1271,6073.6,0.008608
695000,113,-0.3193,2.1271,6132.6,0.008484
700000,112,0.8197,2.1271,6197.7,0.008433
705000,111,0.1159,2.1271,6301.0,0.008566
710000,111,-0.1768,2.1271,6366.4,0.008594
715000,111,-1.7660,2.1271,6393.1,0.008544
720000,112,0.0032,2.1271,6414.3,0.008658
725000,112,0.9972,2.1271,6442.6,0.008570
730000,112,-1.1221,2.1271,6461.9,0.008593
735000,113,0.2477,2.1271,6481.8,0.008630
740000,113,1.0614,2.1271,6503.0,0.008665
745000,114,1.1965,2.1271,6532.2,0.008549
750000,114,2.2671,2.1271,6552.4,0.008578
755000,114,2.1723,2.1271,6572.8,0.008668
760000,115,1.7103,2.1271,6593.9,0.008438
765000,115,-0.2275,2.1271,6621.5,0.008556
770000,115,0.3394,2.1271,6643.2,0.008625
775000,116,1.5480,2.1271,6665.3,0.008644
780000,116,2.4454,2.1271,6686.1,0.008645
785000,116,-0.6479,2.1271,6713.3,0.008626
790000,117,1.3533,2.1271,6733.3,0.008696
795000,117,1.9455,2.1271,6753.6,0.008581
800000,118,0.1956,2.1271,6773.7,0.008733
805000,118,2.1101,2.1271,6801.5,0.008579
810000,118,1.9569,2.1271,6821.8,0.008491
815000,119,0.2399,2.1271,6841.9,0.008706
820000,119,3.1955,2.1271,6863.3,0.008526
825000,119,6.9976,2.5557,6890.2,0.008502
830000,120,3.5752,2.5557,6908.6,0.008601
835000,120,3.1964,2.5557,6926.5,0.008624
840000,120,5.0119,2.5557,6942.7,0.008573
845000,121,2.5563,2.5557,6964.4,0.008745
850000,121,2.1661,2.5557,6980.9,0.008689
855000,122,3.1855,2.5557,6997.8,0.008672
860000,122,1.7700,2.5557,7014.6,0.008659
865000,122,3.3135,2.5557,7035.9,0.008650
870000,123,2.1667,2.5557,7052.4,0.008616
875000,123,2.4581,2.5557,7068.5,0.008627
880000,124,3.9887,2.5557,7084.6,0.008726
885000,124,4.8621,2.5557,7105.7,0.008719
890000,124,4.1041,2.5557,7121.5,0.008752
895000,125,3.4815,2.5557,7138.2,0.008860
900000,125,3.0746,2.5557,7154.6,0.008978
905000,126,1.9495,3.1806,7176.0,0.008783
910000,126,2.4785,3.1806,7192.8,0.008730
915000,126,4.4576,3.1806,7209.4,0.008785
920000,127,2.8379,3.1806,7225.9,0.008754
925000,127,4.9313,3.3295,7249.1,0.008799
930000,128,6.4433,3.3295,7265.4,0.008748
935000,128,6.1405,3.3295,7282.0,0.008711
940000,128,5.5710,3.3295,7297.8,0.008705
945000,129,5.4789,3.3295,7319.5,0.008874
950000,129,6.9823,3.3295,7335.7,0.008894
955000,129,6.1469,3.3295,7351.7,0.008800
960000,130,7.2345,3.3295,7367.0,0.008866
965000,130,8.3483,3.3295,7389.3,0.008778
970000,130,5.9381,3.3295,7405.3,0.008875
975000,131,3.1642,3.3295,7421.6,0.008685
980000,131,3.1366,3.3295,7436.4,0.008719
985000,132,2.9376,3.9321,7457.7,0.008805
990000,132,2.9785,3.9321,7473.4,0.008948
995000,132,3.2442,3.9321,7489.5,0.008899
1000000,133,4.0397,3.9321,7505.4,0.008972
1005000,133,5.7895,4.2208,7527.0,0.008976
1010000,133,6.2356,4.2208,7543.2,0.008784
1015000,134,7.0684,4.2208,7560.3,0.008896
1020000,134,5.6189,4.2208,7575.5,0.008929
1025000,134,5.0066,4.2208,7597.5,0.008904
1030000,135,6.4602,4.2208,7613.7,0.008821
1035000,135,5.9569,4.2208,7630.1,0.008886
1040000,136,6.0837,4.2208,7644.7,0.009037
1045000,136,5.5122,4.2208,7667.9,0.009053
1050000,136,4.8216,4.2208,7684.5,0.009070
1055000,137,4.6032,4.2208,7700.7,0.009004
1060000,137,4.5912,4.2208,7714.9,0.008908
1065000,137,4.7897,4.7777,7737.5,0.008988
1070000,138,4.1482,4.7777,7753.4,0.009053
1075000,138,4.7760,4.7777,7769.8,0.009065
1080000,138,4.3595,4.7777,7784.4,0.009066
1085000,138,6.2210,4.7777,7807.7,0.009082
1090000,139,7.0316,4.7777,7823.9,0.009174
1095000,139,6.6622,4.7777,7840.0,0.009091
1100000,140,5.3470,4.7777,7854.9,0.009201
1105000,140,4.9242,4.7777,7877.4,0.009221
1110000,140,7.9838,4.7777,7893.6,0.009127
1115000,140,9.0465,4.7777,7909.5,0.009211
1120000,141,7.3935,4.7777,7923.2,0.009239
1125000,141,7.4948,4.7777,7945.5,0.009206
1130000,141,7.9364,4.7777,7961.4,0.009311
1135000,142,5.2639,4.7777,7977.5,0.009247
1140000,142,7.8261,4.7777,7991.4,0.009125
1145000,142,11.6056,4.7777,8014.1,0.009228
1150000,143,8.3529,4.7777,8030.5,0.009356
1155000,143,7.2132,4.7777,8046.4,0.009405
1160000,143,8.9776,4.7777,8060.5,0.009451
1165000,144,7.9447,4.7777,8082.5,0.009314
1170000,144,5.7596,4.7777,8099.7,0.009486
1175000,144,5.8431,4.7777,8115.3,0.009394
1180000,145,7.9743,4.7777,8129.6,0.009489
1185000,145,10.1512,4.7777,8152.4,0.009569
1190000,145,9.9012,4.7777,8168.7,0.009595
1195000,146,9.4888,4.7777,8184.5,0.009563
1200000,146,11.3879,4.7777,8199.2,0.009635
1205000,146,11.5754,4.9143,8220.9,0.009479
1210000,146,10.7031,4.9143,8236.9,0.009631
1215000,147,7.9845,4.9143,8252.2,0.009663
1220000,147,5.2763,4.9143,8267.1,0.009746
1225000,147,4.9914,4.9143,8289.1,0.009812
1230000,148,7.7262,4.9143,8305.8,0.009620
1235000,148,8.8876,4.9143,8321.2,0.009759
1240000,148,9.0602,4.9143,8336.3,0.009745
1245000,148,9.3040,4.9307,8358.4,0.009774
