step,sps,avg_train_reward,best_eval_metric,wall_time,alpha
530000,269,-11.1423,1.1054,1968.9,0.100000
535000,269,-15.3145,1.1054,1988.8,0.100000
540000,268,-14.0315,1.1054,2008.6,0.100000
545000,268,-12.5393,1.1054,2032.1,0.100000
550000,268,-10.9032,1.1054,2049.9,0.100000
555000,268,-9.8298,1.1054,2069.5,0.100000
560000,268,-10.0797,1.1054,2083.5,0.100000
565000,268,-11.6251,1.1054,2107.2,0.100000
570000,268,-10.4267,1.1054,2122.6,0.100000
575000,268,-8.9631,1.1054,2139.2,0.100000
580000,268,-9.1803,1.1054,2156.4,0.100000
585000,268,-10.5058,1.1054,2180.1,0.100000
590000,268,-9.8626,1.1054,2195.4,0.100000
595000,269,-10.9375,1.1054,2210.2,0.100000
600000,269,-11.2925,1.1054,2225.1,0.100000
605000,269,-10.3899,1.1054,2246.2,0.100000
610000,269,-10.4110,1.1054,2260.4,0.100000
615000,270,-9.4749,1.1054,2273.8,0.100000
620000,270,-14.4880,1.1054,2288.0,0.100000
625000,270,-12.8132,1.1054,2310.4,0.100000
630000,270,-10.9985,1.1054,2329.4,0.100000
635000,270,-8.8649,1.1054,2345.7,0.100000
640000,271,-5.1229,1.1054,2361.2,0.100000
645000,270,-5.6020,1.1054,2385.2,0.100000
650000,270,-6.8715,1.1054,2401.0,0.100000
655000,270,-8.9167,1.1054,2417.3,0.100000
660000,271,-8.5268,1.1054,2433.4,0.100000
665000,269,-7.3895,1.1054,2464.3,0.100000
670000,269,-9.8262,1.1054,2483.7,0.100000
675000,269,-12.0649,1.1054,2501.0,0.100000
680000,269,-10.4933,1.1054,2519.6,0.100000
685000,268,-12.0096,1.1054,2551.6,0.100000
690000,268,-9.4607,1.1054,2568.3,0.100000
695000,268,-6.5204,1.1054,2586.1,0.100000
700000,269,-9.0188,1.1054,2599.7,0.100000
705000,268,-9.1335,1.8696,2622.8,0.100000
710000,269,-10.7644,1.8696,2636.9,0.100000
715000,269,-8.5233,1.8696,2653.0,0.100000
720000,269,-8.1956,1.8696,2670.1,0.100000
725000,268,-10.7832,1.8696,2697.2,0.100000
730000,269,-11.5047,1.8696,2712.3,0.100000
735000,269,-12.5306,1.8696,2728.7,0.100000
740000,269,-9.7619,1.8696,2745.8,0.100000
745000,269,-7.7614,1.8696,2766.6,0.100000
750000,269,-5.9228,1.8696,2784.7,0.100000
755000,269,-6.5958,1.8696,2801.4,0.100000
760000,269,-6.6955,1.8696,2818.2,0.100000
765000,269,-7.1364,1.8696,2843.2,0.100000
770000,269,-8.1810,1.8696,2857.3,0.100000
775000,269,-8.9035,1.8696,2870.9,0.100000
780000,270,-6.6853,1.8696,2887.5,0.100000
785000,269,-7.5065,1.8696,2916.9,0.100000
790000,269,-6.6852,1.8696,2934.9,0.100000
795000,269,-7.1611,1.8696,2949.6,0.100000
800000,269,-4.5365,1.8696,2964.7,0.100000
805000,269,-9.5376,1.8696,2989.2,0.100000
810000,269,-10.0479,1.8696,3005.3,0.100000
815000,269,-8.8239,1.8696,3020.9,0.100000
820000,269,-8.0195,1.8696,3038.7,0.100000
825000,269,-8.1082,1.8696,3063.2,0.100000
830000,269,-6.3750,1.8696,3078.1,0.100000
835000,269,-7.6928,1.8696,3096.7,0.100000
840000,269,-7.2806,1.8696,3112.8,0.100000
845000,269,-6.1488,1.9646,3132.9,0.100000
850000,270,-5.6709,1.9646,3146.3,0.100000
855000,270,-6.9413,1.9646,3159.6,0.100000
860000,270,-6.0111,1.9646,3174.1,0.100000
865000,270,-6.7371,1.9646,3198.4,0.100000
870000,270,-4.4680,1.9646,3213.7,0.100000
875000,270,-7.0665,1.9646,3230.0,0.100000
880000,271,-5.7432,1.9646,3243.1,0.100000
885000,271,-5.2724,1.9646,3264.0,0.100000
890000,271,-8.0520,1.9646,3278.7,0.100000
895000,271,-7.0072,1.9646,3295.2,0.100000
900000,271,-6.0539,1.9646,3311.4,0.100000
905000,271,-5.2550,1.9646,3336.9,0.100000
910000,271,-4.5150,1.9646,3352.1,0.100000
915000,271,-5.4135,1.9646,3371.4,0.100000
920000,271,-6.0018,1.9646,3388.3,0.100000
925000,270,-5.3342,1.9646,3417.7,0.100000
930000,271,-8.5835,1.9646,3431.1,0.100000
935000,271,-6.5716,1.9646,3446.2,0.100000
940000,271,-3.4910,1.9646,3464.9,0.100000
945000,270,-5.0197,1.9646,3494.1,0.100000
950000,270,-5.4718,1.9646,3510.9,0.100000
955000,270,-6.6595,1.9646,3529.2,0.100000
960000,270,-4.8957,1.9646,3544.1,0.100000
965000,270,-5.6235,1.9646,3570.4,0.100000
970000,270,-4.7279,1.9646,3584.9,0.100000
975000,270,-6.0546,1.9646,3605.9,0.100000
980000,270,-4.0077,1.9646,3626.3,0.100000
985000,269,-2.9878,1.9646,3654.8,0.100000
990000,269,-2.7023,1.9646,3670.2,0.100000
995000,269,-3.6091,1.9646,3685.8,0.100000
1000000,270,-4.2293,1.9646,3700.7,0.100000
1005000,270,-5.6391,1.9646,3722.2,0.100000
1010000,270,-6.9826,1.9646,3736.5,0.100000
1015000,270,-6.1466,1.9646,3751.7,0.100000
1020000,270,-4.1018,1.9646,3767.7,0.100000
1025000,270,-3.9163,2.9697,3794.8,0.100000
1030000,270,-5.2911,2.9697,3812.7,0.100000
1035000,270,-5.2529,2.9697,3829.9,0.100000
1040000,270,-2.4329,2.9697,3850.9,0.100000
1045000,269,-2.6397,2.9697,3876.0,0.100000
1050000,269,-3.3063,2.9697,3891.5,0.100000
1055000,269,-3.0757,2.9697,3909.8,0.100000
1060000,269,-2.7187,2.9697,3926.2,0.100000
1065000,269,-2.1409,2.9697,3957.2,0.100000
1070000,269,-2.4479,2.9697,3973.1,0.100000
1075000,269,-2.4669,2.9697,3989.2,0.100000
1080000,269,-1.9995,2.9697,4010.4,0.100000
1085000,268,-2.4581,2.9697,4038.5,0.100000
1090000,268,-3.9919,2.9697,4053.5,0.100000
1095000,268,-5.1535,2.9697,4072.5,0.100000
1100000,268,-4.7069,2.9697,4089.3,0.100000
1105000,268,-5.9147,2.9697,4116.7,0.100000
1110000,268,-4.8170,2.9697,4133.6,0.100000
1115000,268,-5.9147,2.9697,4149.9,0.100000
1120000,268,-5.8402,2.9697,4166.0,0.100000
1125000,268,-5.6580,2.9697,4190.7,0.100000
1130000,268,-2.3992,2.9697,4206.3,0.100000
1135000,268,-2.5752,2.9697,4220.2,0.100000
1140000,269,-1.2568,2.9697,4233.9,0.100000
1145000,268,-2.5659,2.9697,4257.4,0.100000
1150000,269,0.8088,2.9697,4271.1,0.100000
1155000,269,1.2045,2.9697,4288.1,0.100000
1160000,269,-0.6312,2.9697,4303.9,0.100000
1165000,269,-0.8479,2.9697,4324.1,0.100000
1170000,269,-1.4961,2.9697,4339.2,0.100000
1175000,269,-3.5693,2.9697,4354.0,0.100000
1180000,270,-3.9833,2.9697,4367.2,0.100000
1185000,269,-2.3838,2.9697,4391.9,0.100000
1190000,270,-1.9859,2.9697,4407.0,0.100000
1195000,270,-1.3592,2.9697,4421.4,0.100000
1200000,270,-1.3885,2.9697,4435.8,0.100000
1205000,270,-1.3118,2.9697,4461.4,0.100000
1210000,270,0.8653,2.9697,4479.0,0.100000
1215000,270,0.0110,2.9697,4495.7,0.100000
1220000,270,-2.2429,2.9697,4512.9,0.100000
1225000,269,-3.4317,2.9697,4539.5,0.100000
1230000,270,-3.6291,2.9697,4554.6,0.100000
1235000,270,-2.8064,2.9697,4570.5,0.100000
1240000,270,-3.0756,2.9697,4589.1,0.100000
1245000,269,-3.3003,2.9697,4612.1,0.100000
1250000,270,-2.5284,2.9697,4625.8,0.100000
1255000,270,-2.6587,2.9697,4641.2,0.100000
1260000,270,-1.6719,2.9697,4655.9,0.100000
1265000,270,-1.8840,2.9697,4681.7,0.100000
